col_name,meaning
D1,AGE
D2,GRADE
D3,GENDER
OTHER_RACE,RECODE of RACE
WHITE,RECODE of RACE
BLACK,RECODE of RACE
HISPANIC,RECODE of RACE
D5A,PEOPLE LIVING WITH NOW: MOTHER(S)
D5B,PEOPLE LIVING WITH NOW: STEPMOTHER
D5C,PEOPLE LIVING WITH NOW: FOSTER MOTHER
D5D,PEOPLE LIVING WITH NOW: GRANDMOTHER
D5E,PEOPLE LIVING WITH NOW: AUNT
D5F,PEOPLE LIVING WITH NOW: FATHER(S)
D5G,PEOPLE LIVING WITH NOW: STEPFATHER
D5H,PEOPLE LIVING WITH NOW: FOSTER FATHER
D5I,PEOPLE LIVING WITH NOW: GRANDFATHER
D5J,PEOPLE LIVING WITH NOW: UNCLE
D5K,PEOPLE LIVING WITH NOW: OTHER ADULTS
D5L,PEOPLE LIVING WITH NOW: BROTHER(S)
D5M,PEOPLE LIVING WITH NOW: STEPBROTHER(S)
D5N,PEOPLE LIVING WITH NOW: SISTER(S)
D5O,PEOPLE LIVING WITH NOW: STEPSISTER(S)
D5P,PEOPLE LIVING WITH NOW: OTHER CHILDREN
D8,LANGUAGE SPOKEN AT HOME
D9,HIGHEST SCHOOLING FATHER
D10,HIGHEST SCHOOLING MOTHER
D11,WHERE LIVING NOW
Q13,WHAT WERE YOUR LAST YEARS GRADES
Q738,SCHOOL DAYS MISSED: SKIPPED
FL48b,SKIPPED SCHOOL BECAUSE OF BULLYING
FL60X,PHYSICALLY BULLIED BY OTHERS
FL61X,VERBALLY BULLIED BY OTHERS
FL62X,CYBER BULLING BY OTHERS
FL63X,PHYSICALLY BULLIED OTHERS
FL64X,VERBALLY BULLIED OTHERS
FL65X,CYBER BULLIED OTHERS
Q14,STUDENTS GIVEN CHANCES TO DECIDE
Q2891,TEACHERS ASK ME TO WORK ON SPECIAL PROJCTS
Q15,TEACHER PRAISES ME FOR GOOD WORK
Q2057,CHANCES FOR SCHOOL ACTIVITIES OUTSIDE CLASS
Q17,CAN TALK TO TEACHERS ONE ON ONE
Q18,I FEEL SAFE AT MY SCHOOL
Q21,SCHOOL TELLS PARENTS WHEN I DO WELL
Q731,TEACHERS PRAISE ME FOR HARD WORK
Q23,ARE YOUR GRADES BETTER THAN OTHERS
Q3668,CHANCES TO BE PART OF DISCUSSIONS OR ACTIVITIES
Q58A,HOW MANY OF 4 BEST FRIENDS: SMOKED CIGARETTES?
Q58B,HOW MANY OF 4 BEST FRIENDS: TRIED ALCOHOL?
Q58C,HOW MANY OF 4 BEST FRIENDS: USED MARIJUANA?
FL700,HOW MANY OF 4 BEST FRIENDS: VAPED NICOTINE?
FL701,HOW MANY OF 4 BEST FRIENDS: VAPED MARIJUANA?
FL68,HOW MANY OF 4 BEST FRIENDS: USED PRESCRIPTION DRUGS?
Q3681,SCHOOL WORK IS MEANINGFUL AND IMPORTANT
Q3682,HOW INTERESTING ARE COURSES
Q3683,HOW IMPORTANT LEARNING FOR LATER LIFE
Q3684,HOW OFTEN: ENJOY SCHOOL
Q3685,HOW OFTEN: HATE SCHOOL
Q3686,HOW OFTEN: DO BEST WORK IN SCHOOL
Q60A,AGE FIRST: SMOKED MARIJUANA
Q60B,AGE FIRST: SMOKED CIGARETTES
FL702,AGE FIRST: VAPED NICOTINE
FL703,AGE FIRST: VAPED MARIJUANA
Q60C,AGE FIRST: DRANK ALCOHOL
Q60D,AGE FIRST: DRINK ALCOHOL REGULARLY
Q60E,AGE FIRST: SUSPENDED FROM SCHOOL
Q60F,AGE FIRST: ARRESTED
Q60G,AGE FIRST: CARRIED HANDGUN
Q60H,AGE FIRST: ATTACKED TO HURT
Q61A,HOW WRONG: TAKE HANDGUN TO SCHOOL
Q61B,HOW WRONG: STEAL ITEM WORTH MORE \$5
Q61C,HOW WRONG: PICK FIGHT
Q61D,HOW WRONG: ATTACK TO HURT
Q61E,HOW WRONG: STAY AWAY FROM SCHOOL ALL DAY
Q67A,HOW WRONG: DRINK ALCOHOL REGULARLY
Q67B,HOW WRONG: SMOKE CIGARETTES
Q67C,HOW WRONG: SMOKE MARIJUANA
FL704,HOW WRONG: VAPE NICOTINE
FL705,HOW WRONG: VAPE MARIJUANA
Q67D,HOW WRONG: USE ILLEGAL DRUGS
FL40,Actively participate in: School Sports
FL41,Actively participate in: Organized Sports Outside of School
FL42,Actively participate in: School Band
FL43,Actively participate in: School Club(s)
FL44,Actively participate in: Community Club(s)
Q59AX,Friends feel it would be wrong: DRINK ALCOHOL REGULARLY?
Q59BX,Friends feel it would be wrong: Smoke Tobacco?
Q59CX,Friends feel it would be wrong: Smoke Marijuana?
FL706,Friends feel it would be wrong: Vape Nicotine?
