ID,D1,D2,D3,OTHER_RACE,WHITE,BLACK,HISPANIC,D5A,D5B,D5C,D5D,D5E,D5F,D5G,D5H,D5I,D5J,D5K,D5L,D5M,D5N,D5O,D5P,D8,D9,D10,D11,Q13,Q738,FL48b,FL60X,FL61X,FL62X,FL63X,FL64X,FL65X,Q14,Q2891,Q15,Q2057,Q17,Q18,Q21,Q731,Q23,Q3668,Q58A,Q58B,Q58C,FL700,FL701,FL68,Q3681,Q3682,Q3683,Q3684,Q3685,Q3686,Q60A,Q60B,FL702,FL703,Q60C,Q60D,Q60E,Q60F,Q60G,Q60H,Q61A,Q61B,Q61C,Q61D,Q61E,Q67A,Q67B,Q67C,FL704,FL705,Q67D,FL40,FL41,FL42,FL43,FL44,Q59AX,Q59BX,Q59CX,FL706,FL707,Q59DX,Q54,FL6,FL7,FL8,FL9,FL708,FL709,Q3687,Q3679,Q3688X,FL710,FL711,Q3680,FL120,FL116,U3,U4,U5,U6,U7,FL10,FL11,FL712,FL713,FL714,FL715,U10,U11,U16,U17,FL49,FL50,FL66,FL67,FL51,FL52,U30X,U31X,FL46,FL47,FL55,FL56,FL24,FL25,U24,U25,FL502,FL503,FL504,FL505,FL506,FL507,Q25,Q26,Q28,Q30,Q32,Q27,Q29,Q33A,Q33B,Q33C,Q103A,Q103B,Q103C,Q103D,Q104,Q106,Q108,Q110,Q107,Q66A,Q66B,Q66C,Q66D,Q66E,Q66F,Q66H,FL122,FL123,FL124,Q74AX,Q74B,Q74C,FL125,Q76,Q77,FL508,Q2909,Q79,Q2911,Q82,Q83,Q84,Q85,Q86,Q89,Q91,Q93,Q94,Q96,Q99,Q78,Q2910,Q80,FL509,FL510X,hsms,COUNTY,stwtpop,stwtsamp,SCHOOLID,CLASSID,SchoolName,ZIP
4660189,16,10th,Female,0,0,0,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,English,Don't know,Graduate or professional school after college,"In a city, town or suburb",Mostly B's,1,No,Once or twice,Never,Never,Never,Never,Never,yes,YES!,YES!,yes,YES!,YES!,YES!,yes,YES!,YES!,None,2,4,4,4,None,Often,Fairly interesting,Slightly important,Often,Seldom,Almost always,17 or Older,Never have,17 or Older,Never have,15,Never have,15,Never have,Never have,Never have,Very wrong,A little bit wrong,Very wrong,Very wrong,A little bit wrong,Very wrong,Very wrong,A little bit wrong,Wrong,Wrong,Very wrong,Participated,No participation,No participation,Participated,Participated,Wrong,Very wrong,Not wrong at all,A little bit wrong,A little bit wrong,Very wrong,About once a week or more,yes,NO!,NO!,yes,Zero Times,Zero Times,Great risk,No risk,No risk,Great risk,Great risk,Great risk,Great risk,Great risk,Never,Not at all,0 occasions,0 occasions,None,1-2 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Disagree,Agree,Agree,Disagree,Agree,Agree,Sort of Easy,Very Hard,Very Hard,Very Hard,Very Easy,YES!,NO!,Not wrong at all,Wrong,Very wrong,no,no,no,no,1 or 2 times,Yes,1 or 2 times,No,YES!,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very wrong,Very wrong,Very wrong,Very wrong,YES!,No,Yes,yes,YES!,YES!,YES!,YES!,YES!,YES!,Sometimes,no,Often,no,no,NO!,yes,YES!,yes,YES!,10 hours or more,0 hours,High School,Bay,93.03986408,0.607810767,300611,1,Bay High School,32401-2433
4660190,15,9th,Female,0,0,1,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,English,Don't know,Don't know,"In a city, town or suburb",Mostly B's,None,No,Never,Once or twice,Never,Never,Never,Never,yes,no,no,yes,no,yes,NO!,NO!,yes,yes,Missing,1,1,None,None,None,Seldom,Very dull,Slightly important,Seldom,Sometimes,Often,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Very wrong,Wrong,Wrong,Wrong,Wrong,Very wrong,Very wrong,Wrong,A little bit wrong,A little bit wrong,Very wrong,No participation,No participation,No participation,No participation,No participation,Very wrong,Very wrong,A little bit wrong,Wrong,A little bit wrong,Very wrong,Rarely,yes,yes,no,yes,Zero Times,Zero Times,Great risk,Slight risk,Slight risk,Moderate risk,Slight risk,Great risk,Great risk,Great risk,Never,Not at all,0 occasions,0 occasions,None,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Sort of Hard,Sort of Easy,Very Hard,Very Hard,Sort of Easy,no,no,A little bit wrong,Wrong,Very wrong,no,no,no,no,1 or 2 times,No,1 or 2 times,No,yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very wrong,Very wrong,Very wrong,Very wrong,yes,No,No,no,yes,no,YES!,YES!,YES!,yes,Never or almost never,NO!,Never or almost never,yes,no,no,no,yes,no,YES!,7 hours,5 to 6 hours,High School,Bay,82.21668317,0.537105098,300611,1,Bay High School,32401-2433
4660191,15,10th,Male,0,1,0,0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,English,Completed college,Completed college,"In a city, town or suburb",Mostly A's,None,No,Once or twice,A few times,Never,Never,Once or twice,Never,no,yes,NO!,YES!,YES!,yes,no,no,yes,yes,None,1,None,None,None,None,Often,Fairly interesting,Quite important,Sometimes,Seldom,Often,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Very wrong,Wrong,Wrong,Very wrong,Very wrong,Very wrong,Wrong,A little bit wrong,Wrong,Wrong,Very wrong,No participation,No participation,No participation,No participation,No participation,Very wrong,Very wrong,Very wrong,Wrong,Very wrong,Very wrong,Never,yes,YES!,no,no,Zero Times,Zero Times,Great risk,Slight risk,Moderate risk,Moderate risk,Slight risk,Great risk,Great risk,Great risk,Never,Not at all,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Very Easy,Sort of Hard,Very Hard,Very Easy,Sort of Hard,no,no,Wrong,Very wrong,Very wrong,NO!,NO!,NO!,NO!,1 or 2 times,No,3 or 4 times,No,YES!,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very wrong,Very wrong,Wrong,Very wrong,yes,Yes,No,NO!,yes,NO!,YES!,YES!,YES!,yes,Never or almost never,yes,Never or almost never,YES!,yes,yes,yes,no,NO!,yes,7 hours,0 hours,High School,Bay,249.5106367,1.630002935,300611,1,Bay High School,32401-2433
4660192,14,9th,Female,0,1,0,0,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,English,Don't know,Completed high school,"In a city, town or suburb",Mostly C's,3,Yes,Once or twice,A few times,A few times,Never,Once or twice,Never,YES!,yes,YES!,YES!,YES!,yes,YES!,yes,no,YES!,None,None,None,None,None,None,Almost always,Quite interesting,Quite important,Often,Sometimes,Almost always,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Never have,Very wrong,Very wrong,Very wrong,Very wrong,Wrong,Very wrong,Very wrong,Very wrong,Very wrong,Very wrong,Very wrong,Participated,No participation,No participation,No participation,No participation,Very wrong,Very wrong,Very wrong,Very wrong,Very wrong,Very wrong,Rarely,no,yes,no,yes,Zero Times,Zero Times,Great risk,Moderate risk,Great risk,Great risk,Great risk,Great risk,Great risk,Great risk,Never,Not at all,0 occasions,0 occasions,None,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Very Hard,Sort of Hard,Very Hard,Very Hard,Very Hard,no,no,Wrong,Wrong,Very wrong,NO!,NO!,yes,NO!,Never,Yes,Missing,No,no,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very wrong,Very wrong,Very wrong,Very wrong,yes,No,No,yes,YES!,yes,yes,YES!,YES!,yes,Often,yes,All the time,YES!,yes,YES!,yes,YES!,no,YES!,8 hours,5 to 6 hours,High School,Bay,177.9554788,1.162547444,300611,1,Bay High School,32401-2433
4660193,16,10th,Male,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,English,Some high school,Some high school,"In the country, not on a farm",Mostly B's,1,No,Never,Never,Never,Once or twice,Once or twice,Never,yes,yes,yes,yes,yes,yes,no,no,no,no,None,4,4,4,4,1,Sometimes,Slightly dull,Fairly important,Sometimes,Often,Often,12,15,15,15,10 or Younger,16,10 or Younger,Never have,13,12,Wrong,Very wrong,Wrong,Wrong,Very wrong,Wrong,Very wrong,Wrong,Wrong,Wrong,Very wrong,Participated,Participated,No participation,No participation,No participation,A little bit wrong,A little bit wrong,Not wrong at all,Not wrong at all,Not wrong at all,A little bit wrong,1-2 times a month,NO!,NO!,no,no,Zero Times,Zero Times,Great risk,Slight risk,Slight risk,Slight risk,Slight risk,Moderate risk,Moderate risk,Moderate risk,Never,Not at all,10-19 occasions,Missing,Once,20-39 occasions,6-9 occasions,40 or more occasions,40 or more occasions,40 or more occasions,40 or more occasions,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,0 occasions,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,High School,Bay,239.6658758,1.565689087,300611,1,Bay High School,32401-2433
4660198,15,10th,Male,0,0,1,0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,English,Don't know,Some college,"In a city, town or suburb",Mostly B's,2,Yes,Once or twice,Many times,Once or twice,Never,Never,Never,YES!,no,YES!,YES!,YES!,Missing,NO!,YES!,yes,YES!,None,4,4,4,4,None,Almost always,Very interesting and stimulating,Very important,Almost always,Never,Almost always,Missing,Never have,12,14,13,14,Never have,Never have,Never have,Never have,Very wrong,Very wrong,Very wrong,Very wrong,Very wrong,A little bit wrong,Very wrong,Not wrong at all,A little bit wrong,Not wrong at all,Very wrong,No participation,No participation,No participation,Participated,No participation,Wrong,Missing,Not wrong at all,Wrong,Not wrong at all,Very wrong,Never,YES!,YES!,YES!,yes,Zero Times,Zero Times,Great risk,No risk,No risk,Great risk,No risk,Moderate risk,Moderate risk,Great risk,Never,Not at all,10-19 occasions,1-2 occasions,None,20-39 occasions,1-2 occasions,40 or more occasions,20-39 occasions,10-19 occasions,Missing,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Strongly disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Sort of Easy,Very Hard,Very Hard,Very Hard,Very Easy,YES!,no,Very wrong,Very wrong,Very wrong,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very wrong,Very wrong,A little bit wrong,Very wrong,YES!,No,No,YES!,YES!,YES!,NO!,YES!,YES!,YES!,All the time,NO!,Often,yes,yes,NO!,NO!,no,YES!,YES!,7 hours,0 hours,High School,Bay,70.07491791,0.457785381,300611,4,Bay High School,32401-2433
4660199,15,10th,Female,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,English,Completed high school,Completed high school,"In a city, town or suburb",Mostly B's,2,No,Never,A few times,Never,A few times,Once or twice,Never,NO!,NO!,no,YES!,yes,NO!,NO!,no,yes,no,None,3,4,Missing,4,1,Sometimes,Slightly dull,Quite important,Never,Almost always,Almost always,13,Never have,Never have,15,15,Never have,Never have,Never have,Never have,15,Wrong,Very wrong,A little bit wrong,A little bit wrong,Wrong,Very wrong,Very wrong,A little bit wrong,Very wrong,A little bit wrong,Very wrong,No participation,No participation,No participation,No participation,No participation,Very wrong,Very wrong,Not wrong at all,Very wrong,Not wrong at all,A little bit wrong,Never,no,YES!,yes,YES!,Zero Times,Zero Times,Moderate risk,Slight risk,Slight risk,Slight risk,Slight risk,Moderate risk,Great risk,Great risk,Never,Not at all,3-5 occasions,0 occasions,None,40 or more occasions,40 or more occasions,0 occasions,0 occasions,6-9 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Missing,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Sort of Easy,Very Hard,Very Easy,Sort of Easy,Very Easy,NO!,NO!,A little bit wrong,A little bit wrong,Very wrong,YES!,YES!,YES!,NO!,Never,No,1 or 2 times,No,no,Never,Never,1 or 2 times,Never,Never,3 to 5 times,Never,Never,3 to 5 times,Never,Very wrong,Very wrong,Not wrong at all,Very wrong,YES!,Yes,Yes,no,YES!,no,NO!,NO!,YES!,YES!,All the time,YES!,All the time,YES!,YES!,YES!,YES!,YES!,YES!,no,7 hours,15 to 16 hours,High School,Bay,128.2778156,0.838013236,300611,4,Bay High School,32401-2433
4660200,15,9th,Male,1,0,0,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,English,Completed college,Some college,"In a city, town or suburb",Mostly A's,1,No,Never,Never,Never,Never,Never,Never,yes,no,yes,yes,YES!,yes,no,yes,YES!,yes,None,None,2,3,1,None,Sometimes,Fairly interesting,Slightly important,Often,Sometimes,Almost always,14,Never have,14,Never have,14,Never have,Never have,Never have,Never have,14,Very wrong,A little bit wrong,A little bit wrong,Wrong,Wrong,Wrong,Very wrong,A little bit wrong,A little bit wrong,Wrong,Very wrong,Participated,Participated,No participation,No participation,No participation,Very wrong,Very wrong,A little bit wrong,A little bit wrong,Very wrong,Very wrong,About once a week or more,no,yes,yes,yes,Zero Times,Zero Times,Great risk,No risk,Slight risk,Slight risk,Moderate risk,Great risk,Great risk,Great risk,Never,Not at all,3-5 occasions,0 occasions,None,6-9 occasions,0 occasions,20-39 occasions,10-19 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Sort of Easy,Very Hard,Very Hard,Very Hard,Sort of Easy,NO!,no,Very wrong,Very wrong,Very wrong,NO!,NO!,NO!,NO!,1 or 2 times,Yes,1 or 2 times,No,YES!,Never,Never,Never,Never,Never,1 or 2 times,Never,Never,1 or 2 times,Never,Very wrong,Very wrong,Very wrong,Very wrong,YES!,No,No,no,yes,no,YES!,yes,yes,NO!,Often,no,Often,yes,yes,yes,no,yes,no,yes,6 hours,9 to 10 hours,High School,Bay,58.6637394,0.383238441,300611,4,Bay High School,32401-2433
4660201,14,9th,Female,0,1,0,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,English,Completed grade school or less,Completed college,"In a city, town or suburb",Mostly B's,None,No,Once or twice,Never,Never,Never,Never,Never,no,yes,yes,yes,yes,yes,no,no,NO!,yes,None,2,3,2,None,None,Sometimes,Fairly interesting,Fairly important,Sometimes,Often,Often,14,Never have,14,Never have,13,Never have,Never have,Never have,Never have,Never have,Very wrong,A little bit wrong,Wrong,Very wrong,Wrong,A little bit wrong,Very wrong,Not wrong at all,Wrong,A little bit wrong,Very wrong,No participation,No participation,No participation,No participation,No participation,Very wrong,Very wrong,Not wrong at all,Wrong,Not wrong at all,Very wrong,Never,yes,YES!,yes,YES!,1-2 Times,Zero Times,Great risk,No risk,Missing,Great risk,No risk,Great risk,Great risk,Great risk,Never,Not at all,6-9 occasions,1-2 occasions,None,10-19 occasions,3-5 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sort of Hard,Very Hard,Very Hard,Very Hard,Sort of Easy,no,no,Wrong,Wrong,Very wrong,NO!,no,no,NO!,3 or 4 times,No,3 or 4 times,No,yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very wrong,Very wrong,Not wrong at all,Very wrong,YES!,Yes,Yes,no,YES!,NO!,yes,YES!,YES!,yes,Often,no,Sometimes,YES!,yes,YES!,yes,YES!,NO!,YES!,6 hours,3 to 4 hours,High School,Bay,112.9876056,0.738125361,300611,4,Bay High School,32401-2433
4660202,14,9th,Male,0,1,0,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,English,Completed college,Completed college,"In a city, town or suburb",Mostly B's,None,No,Never,Once or twice,Never,Never,Never,Never,yes,no,no,YES!,YES!,YES!,no,yes,yes,yes,None,2,3,3,None,None,Often,Slightly dull,Fairly important,Often,Sometimes,Often,Never have,Never have,14,Never have,13,Never have,Never have,Never have,Never have,Never have,Very wrong,Wrong,A little bit wrong,Very wrong,Very wrong,Very wrong,Very wrong,Wrong,Wrong,Very wrong,Very wrong,Participated,No participation,No participation,No participation,No participation,Very wrong,Very wrong,A little bit wrong,A little bit wrong,Very wrong,Very wrong,1-2 times a month,NO!,yes,NO!,NO!,Zero Times,Zero Times,Great risk,No risk,Moderate risk,Slight risk,Moderate risk,Great risk,Great risk,Great risk,Never,Not at all,1-2 occasions,0 occasions,None,0 occasions,0 occasions,3-5 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,1-2 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,0 occasions,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Sort of Easy,Very Hard,Very Hard,Sort of Hard,Sort of Easy,yes,no,A little bit wrong,Very wrong,Very wrong,NO!,NO!,no,NO!,3 or 4 times,Yes,3 or 4 times,No,YES!,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very wrong,Very wrong,Very wrong,Very wrong,yes,No,No,NO!,YES!,no,no,yes,YES!,YES!,All the time,YES!,Often,YES!,YES!,YES!,YES!,yes,yes,YES!,6 hours,9 to 10 hours,High School,Bay,126.9758574,0.829507804,300611,4,Bay High School,32401-2433
